,dbuz_head_rep1,dbuz_head_rep2,dbuz_head_rep3,dkoep_head_rep1,dkoep_head_rep2,dkoep_head_rep3
LOC116803651,131,91,126,42,48,31
LOC116803652,1058,823,1101,1245,1653,1834
LOC116803653,3,1,0,0,1,0
LOC116803654,108,102,130,50,60,57
LOC116803659,12,13,15,29,37,56
LOC116803661,2911,2355,2778,1721,1918,2048
LOC116803662,3471,3260,4420,4212,5258,6308
LOC116803665,53,41,68,132,129,122
LOC116803666,2,2,1,0,0,1
LOC116803668,7,0,3,1,2,6
LOC116803669,4,7,6,13,17,22
LOC116803672,1067,740,971,1109,1442,1759
LOC116803676,80,96,101,3,5,19
LOC116803688,0,0,0,0,0,0
LOC116803699,0,0,0,2,5,7
LOC116803705,0,0,0,0,0,0
LOC116803707,76,81,85,123,168,202
LOC116803711,115,84,118,570,690,875
LOC116803725,11,7,11,3,4,4
LOC116803728,25,16,14,11,12,14
LOC116803734,157,145,168,118,196,176
LOC116803737,3,0,1,4,8,2
LOC116803822,2,3,8,14,7,21
LOC116803827,20,13,32,23,29,40
LOC116803829,12852,10515,12477,12788,14806,19889
LOC116803833,1,1,1,3,3,2
LOC116803839,16,12,33,52,87,77
LOC116803845,20,14,12,10,13,17
LOC116803849,203,158,230,295,418,488
LOC116803887,5,11,6,28,41,50
LOC116803894,0,1,2,1,1,3
LOC116803899,52,40,56,21,46,31
LOC116803906,4,1,3,0,4,5
LOC116803908,570,447,514,1528,1635,2231
LOC116803912,1,1,2,1,3,1
LOC116803920,0,2,4,3,2,0
LOC116803930,14,18,29,31,52,44
LOC116803935,0,0,0,0,0,0
LOC116803941,0,0,0,1,2,0
LOC116803942,15,16,12,157,152,154
LOC116803957,0,0,0,0,0,1
LOC116803973,310,251,305,608,818,855
LOC116803976,0,1,0,0,0,0
LOC116803982,1,1,3,3,5,4
LOC116803996,298,270,337,183,282,247
LOC116803999,4230,3440,4534,4169,5806,5140
LOC116804005,0,0,1,1,0,0
LOC116804046,0,0,0,0,0,0
LOC116804054,97,83,84,50,95,66
LOC116804055,0,1,1,25,22,24
LOC116804060,2,3,1,3,6,6
LOC116804061,0,0,0,0,0,0
LOC116804070,1,3,1,0,1,0
LOC116804074,297,227,334,342,476,493
LOC116804076,53,42,77,120,137,136
LOC116804078,8,1,1,0,3,0
LOC116804087,0,0,4,0,0,3
LOC116804090,1,9,5,1,5,6
LOC116804093,4,2,2,4,7,9
LOC116804094,2,2,3,19,10,15
LOC116804097,365,315,422,264,316,326
LOC116804102,0,0,0,0,0,0
LOC116804110,53,40,36,31,30,69
LOC116804131,16,6,7,0,1,0
LOC116804146,1492,1275,1594,1921,2409,2596
LOC116804148,0,0,0,0,0,0
LOC116804149,47,59,67,8,9,10
LOC116804153,238,176,189,120,120,135
LOC116804156,0,0,2,1,0,0
LOC116804157,0,0,0,0,0,2
LOC116804167,205,177,216,245,315,355
LOC116804169,47,36,60,8,18,11
LOC116804170,0,0,0,0,0,0
LOC116804173,1,1,3,0,1,3
LOC116804174,3605,3157,3982,2232,2849,2660
LOC116804175,2,0,0,152,168,197
LOC116804177,15,2,6,2,2,1
LOC116804178,0,0,0,0,0,0
LOC116804184,0,1,1,2,1,2
LOC116804185,2235,1821,2407,1980,2330,2154
LOC116804188,2,0,0,0,1,3
LOC116804193,0,0,0,1,1,2
LOC116804290,1,0,1,0,0,0
LOC116804292,61,76,113,37,54,39
LOC116804295,23,30,22,18,25,12
LOC116804298,416,300,384,434,524,680
LOC116804306,56,24,49,55,100,74
LOC116804307,2,0,3,3,3,1
LOC116804308,12,8,13,8,13,13
LOC116804310,0,0,0,0,0,0
LOC116804312,663,567,763,343,484,428
LOC116804317,25,18,20,27,26,40
LOC116804325,1,0,4,9,13,10
LOC116804329,8,13,10,0,2,1
LOC116804333,1,0,1,0,0,0
LOC116804335,187,121,164,42,52,62
LOC116804341,0,0,0,0,0,0
LOC116804356,27,14,14,680,775,1161
LOC116804362,0,0,0,2,1,0
LOC116804366,0,0,1,0,0,0
LOC116804370,118,115,147,18,52,40
LOC116804371,1,0,1,0,0,2
LOC116804374,520,489,615,309,405,364
LOC116804386,6,3,6,57,85,104
LOC116804392,225,168,196,94,145,108
LOC116804395,19,23,30,15,28,35
LOC116804396,2,3,4,3,1,4
LOC116804398,896,809,929,1058,1633,1496
LOC116804402,70,38,51,3,9,13
LOC116804403,279,224,307,319,338,443
LOC116804408,67,54,48,178,207,227
LOC116804411,737,652,673,544,644,619
LOC116804413,0,0,0,0,2,0
LOC116804455,44,29,40,41,58,70
LOC116804456,1425,1315,1800,1511,2511,2408
LOC116804459,1993,1526,1691,1417,1722,2165
LOC116804460,15,9,18,14,12,4
LOC116804468,347,310,406,90,111,78
LOC116804469,34,22,31,3,10,14
LOC116804473,1714,1228,1461,958,1193,1370
LOC116804481,26,20,28,10,12,14
LOC116804485,745,608,678,651,875,745
LOC116804496,0,0,0,0,0,0
LOC116804500,242,177,213,277,245,874
LOC116804507,56,38,58,37,45,96
LOC116804508,37,36,58,15,18,11
LOC116804514,0,0,0,0,0,0
LOC116804527,1,1,0,5,3,4
LOC116804546,13,12,12,11,8,15
LOC116804551,1,0,0,3,3,2
LOC116804554,50,48,48,28,57,56
LOC116804573,24,14,29,22,25,33
LOC116804575,657,547,650,291,402,436
LOC116804576,78,64,77,66,79,76
LOC116804593,230,214,275,178,305,229
LOC116804623,1,3,1,7,11,10
LOC116804630,32,37,38,22,20,17
LOC116804634,433,392,479,200,271,239
LOC116804638,3,2,1,3,6,6
LOC116804673,25,9,37,1,11,5
LOC116804678,374,352,427,246,319,311
LOC116804682,0,1,0,0,0,0
LOC116804701,0,1,2,97,83,150
LOC116804728,138,99,122,133,207,187
LOC116804732,1,0,1,0,0,0
LOC116804734,2,0,2,37,29,40
LOC116804746,42602,21558,16918,44003,63729,44815
LOC116804822,48,25,38,24,43,34
LOC116804858,3,0,4,0,0,0
LOC116804860,21,9,24,0,0,3
LOC116804862,303,248,269,82,115,131
LOC116804864,379,247,345,346,338,360
LOC116804866,714,712,951,412,849,549
LOC116804868,170,172,185,42,68,35
LOC116804869,132,81,118,87,99,118
LOC116804881,1,1,0,2,2,4
LOC116804886,0,0,0,1,0,0
LOC116804887,175,162,219,209,261,255
LOC116804893,3,1,4,17,34,34
