,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC116803651,662,442,574,316,527,188
LOC116803652,679,420,715,1071,1534,638
LOC116803653,40,29,30,8,34,11
LOC116803654,62,32,51,424,664,286
LOC116803659,20,18,19,43,72,19
LOC116803661,1167,1072,993,2070,3147,1431
LOC116803662,1074,905,1282,801,1235,570
LOC116803665,17383,14385,14757,39984,59520,26700
LOC116803666,37,29,43,55,58,28
LOC116803668,0,0,0,0,1,0
LOC116803669,1,0,1,0,1,0
LOC116803672,2063,1587,2108,1049,1472,682
LOC116803676,2,1,1,7,0,0
LOC116803688,92,83,91,138,189,107
LOC116803699,0,0,0,0,0,0
LOC116803705,0,0,0,2,2,1
LOC116803707,94,85,88,150,291,126
LOC116803711,113,78,85,11,18,5
LOC116803725,2,2,4,14,16,11
LOC116803728,18,7,13,11,14,5
LOC116803734,76,42,68,286,430,195
LOC116803737,6,8,10,0,1,2
LOC116803822,8,18,5,19,35,14
LOC116803827,11,18,25,32,41,24
LOC116803829,2403,1778,2323,896,1426,635
LOC116803833,0,0,1,1,1,1
LOC116803839,2,1,1,0,1,0
LOC116803845,12,12,11,22,34,10
LOC116803849,88,94,132,332,466,301
LOC116803887,183,187,189,311,445,143
LOC116803894,2,0,0,1,4,0
LOC116803899,5,4,8,17,21,5
LOC116803906,7,3,10,1,0,0
LOC116803908,76,67,79,133,262,78
LOC116803912,1,2,0,54,102,48
LOC116803920,0,0,0,0,0,0
LOC116803930,6,13,7,29,41,10
LOC116803935,0,0,0,1,2,0
LOC116803941,1006,658,863,520,748,313
LOC116803942,528,407,515,68,135,77
LOC116803957,2,3,1,0,0,0
LOC116803973,179,132,160,421,692,303
LOC116803976,0,3,2,0,0,0
LOC116803982,2,5,2,5,14,7
LOC116803996,3,6,9,14,31,15
LOC116803999,2936,2441,2662,5829,8970,4545
LOC116804005,0,0,0,1,0,2
LOC116804046,31,28,24,28,43,9
LOC116804054,30,28,26,43,91,47
LOC116804055,9,10,13,16,25,13
LOC116804060,28,17,26,44,38,18
LOC116804061,0,0,0,0,0,0
LOC116804070,4,4,2,10,14,3
LOC116804074,4681,3548,4933,2259,3651,1739
