,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC116803651,95,81,580,405,970,353,151,300,198,120,328,157,200,299,164
LOC116803652,586,502,3039,582,1883,539,492,1224,787,415,969,1022,371,767,420
LOC116803653,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC116803654,73,51,344,410,879,340,245,639,437,172,548,360,229,520,243
LOC116803658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803659,34,24,194,26,86,30,13,27,18,78,159,124,0,2,3
LOC116803661,1121,636,4049,1590,2715,1084,1537,2195,1422,888,1865,1063,1179,1525,859
LOC116803662,1499,852,6858,1372,3852,1269,1120,3006,1635,1069,2057,1830,1029,1855,960
LOC116803663,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
LOC116803664,4,1,39,87,137,88,52,75,69,27,104,57,151,171,80
LOC116803665,132,88,449,139,205,90,90,83,100,45,86,43,27,27,8
LOC116803666,17,4,57,17,11,11,0,0,10,5,2,6,0,10,7
LOC116803667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC116803668,2,0,0,2,0,0,0,0,0,1,8,1,0,0,0
LOC116803669,3,8,7,4,0,5,6,2,3,11,34,8,0,0,2
LOC116803676,60,35,128,221,257,129,72,67,58,58,82,60,565,348,166
LOC116803681,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
LOC116803683,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
LOC116803687,8,10,99,0,0,0,2,8,5,0,0,0,1,3,0
LOC116803688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803689,17,4,34,19,29,6,4,17,14,0,5,3,13,5,2
LOC116803693,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC116803696,3,2,11,0,13,1,0,1,0,2,0,2,4,11,2
LOC116803697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC116803699,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LOC116803701,0,1,4,3,0,6,5,4,0,0,0,3,0,0,0
LOC116803705,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0
LOC116803707,23,33,223,153,202,98,49,104,73,62,195,106,10,18,19
LOC116803711,395,355,2075,165,421,158,97,230,136,105,357,219,32,69,40
LOC116803712,7,4,37,22,16,7,15,44,41,13,35,23,18,42,20
LOC116803717,14,14,57,20,52,14,3,17,4,19,26,22,9,6,0
LOC116803720,0,1,0,2,0,1,0,0,0,0,6,0,0,0,0
LOC116803721,1,0,11,6,12,5,0,0,13,0,7,6,3,0,0
LOC116803723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LOC116803725,3,6,40,8,2,0,5,6,12,8,0,0,0,18,5
LOC116803727,27,16,119,42,77,24,27,38,11,23,38,18,39,53,26
LOC116803728,5,6,48,14,34,7,8,17,9,8,44,8,4,13,3
LOC116803729,131,143,631,133,365,97,162,363,147,109,380,188,18,10,7
LOC116803731,0,0,0,3,17,4,2,11,0,2,1,1,14,1,0
LOC116803732,44,25,241,40,81,53,13,76,18,16,62,50,8,6,11
LOC116803734,186,114,682,623,870,330,322,359,185,304,334,337,297,405,154
LOC116803735,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
LOC116803736,179,174,946,186,572,184,191,400,237,161,367,257,84,233,85
LOC116803737,0,2,0,0,6,0,9,25,4,5,1,2,10,9,13
LOC116803739,21,23,360,14,107,58,4,70,42,3,66,48,14,52,31
LOC116803740,12,5,33,12,34,5,4,0,6,5,0,10,6,14,1
LOC116803741,2,0,5,0,0,1,0,6,3,9,4,2,5,5,0
LOC116803807,26,18,72,40,80,29,21,125,43,19,89,45,14,13,13
LOC116803808,0,0,0,4,9,0,1,3,6,1,0,6,0,6,0
LOC116803819,20,29,168,42,215,50,47,98,75,34,124,60,29,48,18
LOC116803821,3,12,65,16,27,6,11,43,14,9,17,19,12,7,6
LOC116803823,53,34,366,6,63,27,24,21,47,67,176,120,33,45,28
LOC116803827,14,7,24,20,28,8,3,11,1,4,13,5,0,6,6
