,dari_larv_rep1,dari_larv_rep3,dari_larv_rep3,dmoj01_larv_rep1,dmoj01_larv_rep2,dmoj01_larv_rep3,dmoj20_larv_rep1,dmoj20_larv_rep2,dmoj20_larv_rep3,dmoj22_larv_rep1,dmoj22_larv_rep2,dmoj22_larv_rep3,dmoj26_larv_rep1,dmoj26_larv_rep2,dmoj26_larv_rep3
LOC116803651,551,929,977,774,600,508,598,533,530,381,614,498,493,570,718
LOC116803652,637,1016,1078,1255,914,749,725,626,883,684,1164,1042,390,673,871
LOC116803653,21,30,27,20,15,10,22,61,51,9,22,13,1,6,10
LOC116803654,237,257,324,1088,715,513,1041,814,997,764,1159,914,585,683,955
LOC116803658,21,22,38,21,7,19,38,35,45,12,26,15,7,1,3
LOC116803659,45,57,86,62,48,27,40,10,38,40,34,46,11,6,4
LOC116803661,1909,2193,2371,1766,1096,968,3179,1819,2241,1395,1453,1179,1546,1321,1708
LOC116803662,468,704,706,962,660,515,543,467,529,638,824,702,364,570,652
LOC116803663,18,24,35,79,48,32,99,110,134,21,28,25,24,33,29
LOC116803664,81,107,124,136,110,101,57,30,33,59,110,100,68,58,95
LOC116803665,21641,23666,28798,28549,23111,17618,17422,9800,12386,38108,32532,26359,22212,18286,24145
LOC116803666,269,404,430,278,183,192,178,188,250,285,372,403,130,184,165
LOC116803667,40,56,99,63,44,36,96,82,37,23,29,13,18,16,19
LOC116803668,2,11,5,1,0,1,1,0,2,0,0,2,0,1,0
LOC116803669,0,0,0,3,0,0,3,0,0,1,1,1,0,0,0
LOC116803676,1,1,6,4,6,2,6,0,4,10,9,7,15,5,2
LOC116803681,136,185,182,107,114,55,158,120,172,64,71,35,23,31,38
LOC116803683,0,0,0,1,0,5,11,7,3,0,0,0,0,0,1
LOC116803687,489,1222,1062,1539,1068,945,378,592,683,450,800,713,406,832,1027
LOC116803688,0,0,12,6,0,0,4,0,2,5,0,2,0,0,0
LOC116803689,2,14,9,13,3,10,11,6,17,4,11,7,12,9,7
LOC116803693,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LOC116803696,3,13,10,14,5,1,6,5,5,6,4,3,4,2,0
